ID#,Tillage,Instantaneous Nitrate Flux (lb/day/acre)
1,"Vertical, No Till",0.038899387
1,"Vertical, No Till",0.005112471
1,"Vertical, No Till",0.062401101
1,"Vertical, No Till",0.003697208
1,,0.034172031
1,No Till,0.018846228
1,,0.031848181
1,"Vertical, No Till",0.010102019
1,,0.0307754
1,"Vertical, No Till",0.009240163
1,"Vertical, No Till",0.050481652
1,"Vertical, No Till",0.000977795
1,"Vertical, No Till",0.046234212
1,"Vertical, No Till",0.001000653
2,,0.097860774
2,,0.260576024
2,,0.22559128
2,,0.056538563
2,,0.052929505
2,,0.039134658
2,,0.041870336
2,,0.061977284
2,,0.021165562
2,,0.089633327
2,,0.014198053
2,,0.020766212
2,,0.001916484
2,,0.002048263
2,,2.94E-05
3,,
3,,
3,,
3,,
3,,
3,,
4,,
4,,
4,,
4,,
4,,0.002171755
4,,0.006978478
4,,
4,,
4,,
5,No Till,0.040114993
5,No Till,0.008393799
5,No Till,0.164669571
5,No Till,0.017086016
5,No Till,0.090465088
5,No Till,0.00717473
5,No Till,0.092941322
5,No Till,0.007073141
5,No Till,0.137568564
5,No Till,0.036248258
5,No Till,0.108090795
5,No Till,0.018787633
5,No Till,0.064299547
5,No Till,0.011857352
5,No Till,0.319582356
5,No Till,0.061201079
5,No Till,0.006523925
5,No Till,0.00680012
5,No Till,0.002473589
5,No Till,0.001949558
6,,
6,,
6,,
6,,
6,,
6,,
7,,
7,,
7,,
7,,
7,,
7,,
7,,
7,,
7,,
7,,
7,,
7,,
7,,
7,,
7,,
7,,
7,,
9,,0.020060218
9,,0.021572743
9,,0.126772304
9,,0.033585354
9,,
9,,
9,,0.008112841
9,,
9,,
9,,
12,,0.00997119
12,,0.004400078
12,,0.379090244
12,,0.412705692
12,,0.350735407
1,"Vertical, No Till",0.01
1,"Vertical, No Till",0.01
1,"Vertical, No Till",0.00
1,"Vertical, No Till",0.00
1,"Vertical, No Till",0.00
1,"Vertical, No Till",0.00
1,"Vertical, No Till",0.00
1,"Vertical, No Till",0.00
1,"Vertical, No Till",0.00
1,"Vertical, No Till",0.05
1,"Vertical, No Till",0.05
1,"Vertical, No Till",0.05
1,"Vertical, No Till",0.05
1,"Vertical, No Till",0.05
1,"Vertical, No Till",0.05
1,"Vertical, No Till",0.05
1,"Vertical, No Till",0.05
1,"Vertical, No Till",0.05
2,No Till,0.04
2,No Till,0.05
